"ARTICLE_DOI","AUTHOR_PRODUCTIVITY"
"10.1371/journal.pone.0182742",61
"10.1371/journal.pone.0127319",84
"10.1016/j.fsigen.2016.12.011",22
"10.3389/fninf.2015.00009",10
"10.1038/ncomms14357",225
"10.1093/jmcb/mjx054",67
"10.1016/j.ejmech.2017.08.028",18
"10.1371/journal.pbio.2003250",122
"10.3390/biology6040042",19
"10.1038/ng.3459",46
"10.1038/s41598-017-07052-8",42
"10.1038/srep42967",75
"10.1038/s41598-017-02201-5",17
"10.1186/s13100-017-0102-3",61
"10.1371/journal.pgen.1006543",7
"10.1111/mec.14248",40
"10.1073/pnas.1620140114",42
"10.3389/fonc.2017.00210",6
"10.1128/msystems.00088-17",32
"10.1371/journal.pcbi.1005638",6
"10.1371/journal.pntd.0004931",8
"10.1186/s12864-017-3566-0",7
"10.1093/sysbio/syx030",27
"10.1073/pnas.1713960115",8
"10.1093/jxb/erx261",12
"10.1093/bioinformatics/btx166",198
"10.1093/gbe/evx062",28
"10.1371/journal.pone.0186524",108
"10.1002/ece3.2865",144
"10.1016/j.neuroimage.2016.08.056",42
"10.1007/s10863-017-9704-1",49
"10.7554/elife.28974",9
"10.1016/j.cub.2017.09.005",9
"10.1038/srep42444",43
"10.1016/j.ajhg.2017.07.002",150
"10.1093/nar/gkv756",8
"10.1534/g3.116.034678",17
"10.1021/acs.jafc.7b03051",42
"10.1126/science.aal4211",26
"10.1038/s41598-017-08926-7",82
"10.1111/2041-210x.12787",8
"10.1186/s12864-017-4286-1",45
"10.1186/s13062-016-0138-1",5
"10.1038/nature22398",17
"10.1242/dev.152124",240
"10.1038/srep39332",6
"10.1371/journal.pcbi.1005326",32
"10.1016/j.tpb.2017.04.001",102
"10.7554/elife.14859",8
"10.1128/jcm.01805-16",21
"10.1186/s12862-017-0965-4",46
"10.1111/mec.14090",75
"10.1002/ece3.3198",23
"10.1016/j.ympev.2017.07.011",110
"10.1089/cmb.2014.0029",4
"10.1093/bioinformatics/btx155",24
"10.1093/molbev/msx095",38
"10.1016/j.bpj.2017.03.002",12
"10.1016/j.cell.2017.09.004",30
"10.1111/1755-0998.12529",11
"10.1194/jlr.d073536",32
"10.1038/s41598-017-07163-2",228
"10.1016/j.ecolmodel.2017.02.011",90
"10.1186/s12859-016-1299-8",23
"10.1115/1.4037948",165
"10.1038/nature16152",27
"10.1007/s00429-016-1252-7",72
"10.1101/gr.214767.116",36
"10.1080/15592294.2017.1341026",172
"10.1371/journal.pone.0183085",18
"10.1093/bioinformatics/btx100",27
"10.1371/journal.pone.0170622",28
"10.1158/0008-5472.can-17-0096",54
"10.1007/s10522-016-9669-1",24
"10.1371/journal.pone.0169432",13
"10.7554/elife.28626",5
"10.1523/eneuro.0176-17.2017",156
"10.1523/jneurosci.1711-17.2017",17
"10.1016/j.nlm.2017.09.009",43
"10.1111/2041-210x.12766",27
"10.1162/jocn_a_01091",46
"10.1016/j.neuroscience.2017.05.017",46
"10.3389/fnins.2017.00575",14
"10.1371/journal.pntd.0005073",19
"10.1007/s11692-017-9413-z",11
"10.7554/elife.30637",26
"10.7554/elife.28935",9
"10.1016/j.molp.2017.09.003",74
"10.3389/fnbeh.2017.00140",13
"10.1016/j.bpj.2017.01.025",20
"10.1002/humu.23141",33
"10.1038/sdata.2017.59",45
"10.1021/acs.analchem.7b03806",21
"10.1016/j.cellsig.2017.09.001",21
"10.1038/srep41614",108
"10.1093/jhered/esx055",27
"10.1016/j.coisb.2017.07.006",86
"10.1093/hmg/ddw167",21
"10.1128/mbio.00924-17",22
"10.1186/s13059-016-0931-2",56
"10.1038/ng.3231",10
"10.1038/s41467-017-02330-5",54
"10.1371/journal.pone.0188357",24
"10.1128/mbio.02154-15",20
"10.7554/elife.22784",65
"10.1371/journal.pcbi.1005680",44
"10.1534/genetics.116.189209",21
"10.1111/psyp.12793",82
"10.1128/msystems.00046-17",14
"10.1111/1755-0998.12560",18
"10.1093/treephys/tpx043",28
"10.1371/journal.pone.0175480",42
"10.1242/jcs.207423",12
"10.1523/eneuro.0385-16.2017",44
"10.1016/j.nicl.2017.08.003",18
"10.1093/molbev/msx087",16
"10.1371/journal.pcbi.1005731",82
"10.1017/s0033291717000320",45
"10.7554/elife.24060",15
"10.1016/j.tics.2017.03.005",19
"10.1073/pnas.1705238114",8
"10.1111/pce.12764",126
"10.1073/pnas.1620562114",50
"10.1128/jcm.00462-17",6
"10.1038/547020a",154
"10.1007/s00285-016-1062-9",78
"10.7554/elife.25818",32
"10.1038/s41477-017-0067-8",30
"10.7554/elife.16043",10
"10.1016/j.toxlet.2017.05.011",9
"10.1126/science.aan3242",40
"10.1101/gr.214973.116",15
"10.1073/pnas.1700073114",28
"10.1016/j.placenta.2017.05.003",22
"10.1038/s41598-017-09250-w",90
"10.1073/pnas.1609844114",10
"10.1242/dev.149542",23
"10.1128/mbio.00996-17",124
"10.1093/gbe/evx260",32
"10.1186/s12859-017-1563-6",14
"10.7554/elife.27444.001",72
"10.1371/journal.pgen.1007114",8
"10.1038/ng.3740",27
"10.1093/hmg/ddw425",36
"10.1038/nmeth.4470",174
"10.1523/jneurosci.1788-16.2017",110
"10.1038/nmeth.4324",12
"10.1371/journal.pone.0180372",12
"10.1186/s13059-017-1251-x",69
"10.7717/peerj.2898",52
"10.1038/s41562-017-0223-1",15
"10.7554/elife.10415.001",20
"10.1105/tpc.17.00010",126
"10.1534/genetics.116.199406",74
"10.1242/jcs.187658",2
"10.1371/journal.pgen.1007032",11
"10.1093/nar/gkx404",10
"10.1016/j.cels.2017.08.013",19
"10.1021/acs.jproteome.6b00815",6
"10.1186/s12918-015-0165-z",6
"10.1093/nar/gkw971",174
"10.1242/dev.142711",16
"10.1038/nature24476",20
"10.1091/mbc.e16-09-0675",8
"10.1038/s41598-017-17159-7",26
"10.1016/j.ympev.2016.11.018",4
"10.1016/j.ijpddr.2017.10.007",32
"10.1186/s12859-017-1553-8",20
"10.1128/msphere.00367-16",6
"10.1038/s41598-017-16627-4",36
"10.1098/rspb.2015.2733",13
"10.1371/journal.pcbi.1005688",11
"10.1016/j.pnpbp.2017.01.009",68
"10.3389/fpsyg.2017.01613",27
"10.7554/elife.31035",26
"10.1104/pp.17.00672",12
"10.1242/jcs.205203",5
"10.1101/gr.212696.116",36
"10.5334/dsj-2017-026",28
"10.1038/s41598-017-08464-2",12
"10.1016/j.jchemneu.2017.07.002",15
"10.1186/s12862-016-0662-8",22
"10.1016/j.ympev.2017.07.014",16
"10.1007/s11538-017-0332-z",9
"10.1016/j.trac.2017.02.011",21
"10.1371/journal.pone.0148203",48
"10.1038/ncomms14454",16
"10.1016/j.neuroimage.2016.06.034",222
"10.7717/peerj.3421",15
"10.1038/s41598-017-18164-6",36
"10.1534/genetics.116.194811",16
"10.1093/cercor/bhx202",8
"10.1093/nar/gkx194",118
"10.1534/genetics.117.300191",200
"10.1038/srep38863",18
"10.1186/s13075-017-1443-5",57
"10.1021/acs.jcim.7b00225",42
"10.1093/nar/gkw1152",10
"10.1128/mbio.01964-17",18
"10.1534/g3.117.043000",10
"10.1016/j.molcel.2017.10.019",38
"10.7554/elife.13254",21
"10.1186/s12864-017-3780-9",10
"10.1534/g3.117.043679",11
"10.1038/s41598-017-14467-w",27
"10.1016/j.marpolbul.2016.10.043",100
"10.1098/rstb.2016.0425",40
"10.1080/07352689.2016.1265360",14
