"PREPRINT_DOI","HAS_ALTMETRIC","ALT_SCORE","ALT_TWEETS","ALT_FEEDS","ALT_MSM","ALT_POLICIES","ALT_WIKIPEDIA","ALT_MENDELEY"
"10.1101/003988",TRUE,36.748,31,2,0,0,0,30
"10.1101/004002",TRUE,19.948,19,1,0,0,0,53
"10.1101/003947",TRUE,24.8,44,0,0,0,0,54
"10.1101/003921",TRUE,22.098,27,1,0,0,0,18
"10.1101/004010",TRUE,2.25,5,0,0,0,0,1
"10.1101/004028",FALSE,0,0,0,0,0,0,0
"10.1101/004036",TRUE,3.75,8,0,0,0,0,31
"10.1101/004119",TRUE,14.248,7,1,0,0,0,4
"10.1101/004101",TRUE,0.25,1,0,0,0,0,2
"10.1101/004135",TRUE,0.25,1,0,0,0,0,1
"10.1101/004168",TRUE,1,3,0,0,0,0,28
"10.1101/004127",TRUE,0.75,2,0,0,0,0,0
"10.1101/004176",TRUE,1.25,2,0,0,0,0,16
"10.1101/004184",TRUE,10.25,8,1,0,0,0,27
"10.1101/004192",TRUE,1.25,2,0,0,0,0,25
"10.1101/004218",TRUE,1.25,3,0,0,0,0,20
"10.1101/004226",TRUE,2.35,5,0,0,0,0,8
"10.1101/004267",TRUE,8.25,3,1,0,0,0,1
"10.1101/004283",TRUE,18.038,9,2,0,0,0,1
"10.1101/004234",TRUE,4.85,9,0,0,0,0,3
"10.1101/004291",TRUE,2.35,5,0,0,0,0,11
"10.1101/004317",TRUE,14.25,12,1,0,0,0,4
"10.1101/004242",TRUE,0.25,1,0,0,0,0,17
"10.1101/004325",TRUE,34.9,50,1,0,0,0,12
"10.1101/004309",TRUE,47.35,77,1,0,0,0,69
"10.1101/004341",TRUE,0.75,3,0,0,0,0,5
"10.1101/004366",TRUE,1.5,4,0,0,0,0,1
"10.1101/004374",TRUE,12.25,12,1,0,0,0,21
"10.1101/004390",TRUE,0.5,2,0,0,0,0,0
"10.1101/004259",TRUE,0.75,2,0,0,0,0,1
"10.1101/004424",TRUE,12.848,5,1,0,0,0,5
"10.1101/004432",TRUE,1,3,0,0,0,0,19
"10.1101/004440",TRUE,16.798,11,1,0,0,0,17
"10.1101/004457",TRUE,0.75,2,0,0,0,0,0
"10.1101/004465",TRUE,12.748,3,1,0,0,0,8
"10.1101/004416",TRUE,5.7,8,0,0,0,0,1
"10.1101/004473",TRUE,1.35,3,0,0,0,0,14
"10.1101/004481",TRUE,8.5,4,1,0,0,0,9
"10.1101/004507",TRUE,5.7,11,0,0,0,0,27
"10.1101/004499",TRUE,4.35,9,0,0,0,0,1
"10.1101/004556",TRUE,2.25,5,0,0,0,0,19
"10.1101/004564",TRUE,17.05,20,1,0,0,0,19
"10.1101/004572",TRUE,2,5,0,0,0,0,11
"10.1101/004382",TRUE,1.25,1,0,0,0,0,0
"10.1101/004580",TRUE,1.6,3,0,0,0,0,9
"10.1101/004614",TRUE,11.248,3,1,0,0,0,0
"10.1101/004622",TRUE,2.25,5,0,0,0,0,18
"10.1101/004648",TRUE,0.75,3,0,0,0,0,0
"10.1101/004655",TRUE,0.5,2,0,0,0,0,9
"10.1101/004663",TRUE,0.25,1,0,0,0,0,2
"10.1101/004705",TRUE,21.248,5,2,0,0,0,16
"10.1101/004713",TRUE,30.698,12,3,0,0,0,5
"10.1101/004739",TRUE,0.75,2,0,0,0,0,0
"10.1101/004747",TRUE,0.25,1,0,0,0,0,6
"10.1101/004762",TRUE,17.698,15,1,0,0,0,3
"10.1101/004788",TRUE,2.25,5,0,0,0,0,0
"10.1101/004804",TRUE,1,3,0,0,0,0,1
"10.1101/004820",TRUE,1,3,0,0,0,0,0
"10.1101/004846",TRUE,1.5,4,0,0,0,0,20
"10.1101/004796",TRUE,0.25,1,0,0,0,0,0
"10.1101/004861",TRUE,0.5,2,0,0,0,0,1
"10.1101/004853",TRUE,2.5,6,0,0,0,0,0
"10.1101/004887",TRUE,1.75,4,0,0,0,0,10
"10.1101/004895",TRUE,5.75,14,0,0,0,0,10
"10.1101/004903",TRUE,0.5,2,0,0,0,0,0
"10.1101/004911",TRUE,1.75,3,0,0,0,0,6
"10.1101/004960",TRUE,1.1,2,0,0,0,0,0
"10.1101/004978",TRUE,0.25,1,0,0,0,0,0
"10.1101/004986",TRUE,2.85,5,0,0,0,0,0
"10.1101/005017",TRUE,9,4,1,0,0,0,2
"10.1101/004994",TRUE,0.25,1,0,0,0,0,0
"10.1101/005009",TRUE,0.75,3,0,0,0,0,1
"10.1101/005025",TRUE,1.5,4,0,0,0,0,2
"10.1101/005033",TRUE,23.1,37,0,0,0,0,22
"10.1101/005041",TRUE,1.5,3,0,0,0,0,1
"10.1101/005058",TRUE,24.298,17,2,0,0,0,17
"10.1101/005066",TRUE,1,3,0,0,0,0,3
"10.1101/005074",TRUE,12.25,27,0,0,0,0,80
"10.1101/005082",TRUE,9.5,6,1,0,0,0,0
"10.1101/005124",TRUE,17.498,6,2,0,0,0,1
"10.1101/005090",TRUE,9,4,1,0,0,0,22
"10.1101/005140",FALSE,0,0,0,0,0,0,0
"10.1101/005181",FALSE,0,0,0,0,0,0,0
"10.1101/005173",TRUE,16.048,8,1,0,0,0,10
"10.1101/005207",TRUE,48.4,48,4,0,0,0,36
"10.1101/005215",TRUE,6.5,9,0,0,0,0,33
"10.1101/005223",TRUE,10.2,18,0,0,0,0,2
"10.1101/005231",TRUE,1.75,4,0,0,0,0,3
"10.1101/005256",TRUE,1,3,0,0,0,0,0
"10.1101/005264",TRUE,17.65,22,1,0,0,0,20
"10.1101/005298",TRUE,5.85,12,0,0,0,0,15
"10.1101/005322",TRUE,13.1,10,1,0,0,0,17
"10.1101/005314",TRUE,9.5,4,1,0,0,0,0
"10.1101/003905",TRUE,9.75,5,1,0,0,0,124
"10.1101/005330",TRUE,20.15,23,1,0,0,0,4
"10.1101/005348",TRUE,48.138,32,4,0,0,0,8
"10.1101/005363",TRUE,19.9,27,1,0,0,0,0
"10.1101/005355",TRUE,1.1,2,0,0,0,0,1
"10.1101/005371",TRUE,27.3,56,0,0,0,0,0
