"PREPRINT_DOI","ARTICLE_DOI","HAS_ALTMETRIC","ALT_SCORE","ALT_TWEETS","ALT_FEEDS","ALT_MSM","ALT_POLICIES","ALT_WIKIPEDIA","ALT_MENDELEY"
"10.1101/111377","10.1534/g3.117.1136",TRUE,5,11,0,0,0,0,12
"10.1101/086785","10.1093/gbe/evx072",TRUE,2.75,7,0,0,0,0,23
"10.1101/101170","10.1038/s41598-017-06511-6",TRUE,1.85,4,0,0,0,0,24
"10.1101/096446","10.1093/cid/cix270",TRUE,10.9,20,0,0,0,0,116
"10.1101/094649","10.7554/elife.24149",TRUE,25.4,51,0,0,0,0,100
"10.1101/074237","10.1126/science.aaj2038",TRUE,1435.008,879,18,82,0,4,458
"10.1101/029058","10.1523/jneurosci.1864-15.2015",TRUE,4.5,9,0,0,0,0,86
"10.1101/021261","10.1534/genetics.115.179606",TRUE,1.5,3,0,0,0,0,23
"10.1101/011411","10.1038/srep14629",TRUE,1.5,3,0,0,0,0,85
"10.1101/021154","10.1371/journal.pbio.1002210",TRUE,57.6,77,0,1,0,2,180
"10.1101/018523","10.1007/s10344-015-0935-3",FALSE,0,0,0,0,0,0,0
"10.1101/045922","10.1101/gr.208041.116",TRUE,4.1,8,0,0,0,0,38
"10.1101/088005","10.1186/s12918-016-0375-z",TRUE,3.5,8,0,0,0,0,40
"10.1101/008797","10.1371/journal.pgen.1005176",TRUE,13.3,24,0,0,0,0,82
"10.1101/043869","10.1098/rstb.2015.0412",TRUE,2.6,4,0,0,0,0,36
"10.1101/046375","10.1083/jcb.201603108",TRUE,11.95,18,0,0,0,0,94
"10.1101/036426","10.1111/1755-0998.12529",TRUE,67.6,124,0,0,0,0,165
"10.1101/013573","10.1111/evo.12572",TRUE,4.75,8,0,0,0,0,74
"10.1101/047332","10.1103/physreve.93.062417",TRUE,2,6,0,0,0,0,22
"10.1101/030551","10.1016/j.cels.2016.04.014",TRUE,27.9,50,0,0,0,0,177
"10.1101/125161","10.1016/j.neuroimage.2017.12.059",TRUE,2.5,6,0,0,0,0,80
"10.1101/077214","10.3389/fgene.2017.00175",TRUE,1.75,6,0,0,0,0,11
"10.1101/141937","10.1073/pnas.1708671114",TRUE,78.58,3,1,10,0,0,27
"10.1101/075481","10.1371/journal.pcbi.1005727",TRUE,16.7,35,0,0,0,0,69
"10.1101/022293","10.1038/ng.3539",TRUE,196.99,143,1,14,0,0,768
"10.1101/106799","10.1534/g3.117.041020",TRUE,14.85,28,0,0,0,0,32
"10.1101/113985","10.1098/rsob.170091",TRUE,13.7,26,0,0,0,0,12
"10.1101/085597","10.1016/j.celrep.2017.07.078",TRUE,15.35,31,0,0,0,0,44
"10.1101/141804","10.1016/j.jtbi.2017.07.016",TRUE,2.25,6,0,0,0,0,35
"10.1101/050278","10.1016/j.meegid.2017.03.012",TRUE,3.5,1,0,0,0,1,94
"10.1101/029496","10.1534/g3.115.025668",TRUE,7.15,11,0,0,0,0,55
"10.1101/020305","10.1186/s12864-016-2364-4",TRUE,7.75,16,0,0,0,0,122
"10.1101/023275","10.1038/ncomms10179",TRUE,4.5,11,0,0,0,0,77
"10.1101/018374","10.1371/journal.pcbi.1004411",TRUE,90.136,39,4,5,0,0,89
"10.1101/023697","10.1098/rsif.2015.0597",TRUE,3.85,7,0,0,0,0,49
"10.1101/064451","10.1099/mgen.0.000086",TRUE,39.55,73,0,0,0,0,48
"10.1101/047613","10.1002/cyto.a.23030",TRUE,8.7,17,0,0,0,0,250
"10.1101/054965","10.1101/gr.210641.116",TRUE,33.35,31,1,1,0,0,432
"10.1101/088948","10.1007/s10238-016-0441-2",TRUE,0.25,1,0,0,0,0,9
"10.1101/010918","10.1093/molbev/msv061",TRUE,2.5,7,0,0,0,0,39
"10.1101/164665","10.1111/1462-2920.14037",TRUE,15.1,28,0,0,0,0,35
"10.1101/113605","10.1016/j.tpb.2017.08.003",TRUE,1.25,3,0,0,0,0,14
"10.1101/008375","10.1093/nar/gkv717",TRUE,17.85,17,0,1,0,0,210
"10.1101/160416","10.1002/art.40342",TRUE,3.25,6,0,0,0,0,21
"10.1101/103127","10.1371/journal.pone.0189922",TRUE,3.1,5,0,0,0,0,12
"10.1101/091926","10.1016/j.cell.2017.10.023",TRUE,62.45,104,0,1,0,0,223
"10.1101/123844","10.1186/s12859-017-1813-7",TRUE,11.55,22,0,0,0,0,35
"10.1101/114496","10.7554/elife.26580",TRUE,53.73,64,1,2,0,0,127
"10.1101/137554","10.1016/j.placenta.2017.04.015",TRUE,17.5,14,0,1,0,0,26
"10.1101/127555","10.1002/jwmg.21261",TRUE,9.35,14,0,0,0,0,68
"10.1101/103150","10.1038/s41598-017-03315-6",TRUE,9.95,21,0,0,0,0,22
"10.1101/085670","10.3758/s13423-017-1301-0",TRUE,0.25,1,0,0,0,0,13
"10.1101/050906","10.1109/tnb.2017.2675981",TRUE,7.346,1,1,0,0,0,32
"10.1101/022996","10.1534/genetics.115.181024",TRUE,7.8,13,0,0,0,0,22
"10.1101/019315","10.1093/bioinformatics/btv421",TRUE,38.25,55,0,1,0,1,848
"10.1101/012583","10.3389/fncir.2015.00076",TRUE,0.25,1,0,0,0,0,11
"10.1101/019125","10.1002/bies.201500057",TRUE,33.822,22,1,2,0,0,46
"10.1101/065052","10.1038/nmeth.4155",TRUE,104.88,164,1,2,0,0,458
"10.1101/012880","10.1038/nmeth.3312",TRUE,98.056,22,8,4,0,1,1281
"10.1101/052977","10.1534/genetics.116.191494",TRUE,7.1,12,0,0,0,0,88
"10.1101/048553","10.1371/journal.pgen.1006384",TRUE,10.2,22,0,0,0,0,38
"10.1101/048884","10.1534/g3.116.030262",TRUE,3,8,0,0,0,0,56
"10.1101/013656","10.1016/j.ajhg.2015.01.003",TRUE,9.35,11,0,0,0,1,45
"10.1101/132001","10.1093/bioinformatics/btx461",TRUE,1,3,0,0,0,0,16
"10.1101/154724","10.1093/gigascience/gix102",TRUE,81.788,23,2,6,0,1,21
"10.1101/155135","10.1093/bioinformatics/btx578",TRUE,19,40,0,0,0,0,47
"10.1101/039370","10.1098/rsif.2016.0296",TRUE,14.8,30,0,0,0,0,62
"10.1101/044180","10.3389/fpsyg.2016.00850",TRUE,530.732,54,6,58,0,0,90
"10.1101/024612","10.1038/ncomms11881",TRUE,6.7,10,0,0,0,0,106
"10.1101/089961","10.1186/s13756-017-0277-x",TRUE,1.5,5,0,0,0,0,26
"10.1101/119834","10.15252/msb.20177651",TRUE,32.53,46,1,0,0,0,87
"10.1101/160549","10.1371/journal.pone.0189602",TRUE,1.25,3,0,0,0,0,4
"10.1101/119156","10.1111/mec.14252",TRUE,63.606,2,2,7,0,0,54
"10.1101/153809","10.1038/s41598-017-11237-6",TRUE,4.85,9,0,0,0,0,92
"10.1101/095893","10.1186/s12915-017-0416-0",TRUE,4.45,9,0,0,0,0,23
"10.1101/068585","10.1038/tp.2017.72",TRUE,12.9,20,0,0,0,0,99
"10.1101/136887","10.1152/jn.00240.2017",TRUE,1.5,4,0,0,0,0,15
"10.1101/110643","10.1093/cercor/bhx135",TRUE,41.95,59,0,1,0,0,97
"10.1101/083659","10.15252/embr.201643587",TRUE,14.15,26,0,0,0,0,43
"10.1101/011767","10.1371/journal.pcbi.1005515",TRUE,19.696,25,1,0,0,0,62
"10.1101/099051","10.7554/elife.25073",TRUE,9.35,17,0,0,0,0,54
"10.1101/071316","10.1016/j.heliyon.2017.e00303",TRUE,0.75,1,0,0,0,0,2
"10.1101/094862","10.3390/jpm7020003",TRUE,1668.486,226,12,181,0,0,304
"10.1101/080341","10.1101/gr.215038.116",TRUE,10.45,19,0,0,0,0,114
"10.1101/097592","10.1371/journal.pone.0174918",TRUE,3.1,8,0,0,0,0,26
"10.1101/010769","10.1093/gbe/evv062",TRUE,10.2,21,0,0,0,0,67
"10.1101/007476","10.1093/bioinformatics/btv317",TRUE,20.4,45,0,0,0,0,93
"10.1101/081166","10.1038/srep43293",TRUE,277.822,119,8,19,0,0,158
"10.1101/075853","10.1016/j.neuroimage.2016.10.045",TRUE,16.75,31,0,0,0,0,212
"10.1101/022533","10.1111/ecog.02441",TRUE,10.15,16,0,0,0,0,49
"10.1101/011437","10.1534/genetics.114.172742",TRUE,10.55,17,0,0,0,0,63
"10.1101/016154","10.1534/g3.114.011411",TRUE,6.45,10,0,0,0,0,48
"10.1101/003178","10.1093/bioinformatics/btu770",TRUE,17.25,14,1,0,0,0,176
"10.1101/049841","10.1186/s13062-016-0159-9",TRUE,9.45,12,0,0,0,16,142
"10.1101/044982","10.1093/nar/gkw457",TRUE,9.5,2,0,1,0,0,48
"10.1101/136812","10.1021/acssynbio.7b00122",TRUE,1.5,4,0,0,0,0,35
"10.1101/003293","10.1101/gad.241422.114",TRUE,3,6,0,0,0,0,229
