"PREPRINT_DOI","ARTICLE_DOI","AUTHOR_AGE"
"10.1101/050377","10.1038/ncomms14517",21
"10.1101/053116","10.1371/journal.pbio.2003250",21
"10.1101/061846","10.1038/s41598-017-00049-3",21
"10.1101/066258","10.7717/peerj.3103",21
"10.1101/070912","10.1038/s41598-017-06720-z",21
"10.1101/074112","10.7717/peerj.2991",21
"10.1101/077891","10.1016/j.neuron.2017.07.025",21
"10.1101/077966","10.7554/elife.23061",21
"10.1101/079723","10.1098/rsos.170811",21
"10.1101/081513","10.1038/s41598-017-09360-5",21
"10.1101/081752","10.1523/eneuro.0176-17.2017",21
"10.1101/084533","10.1371/journal.pone.0181423",21
"10.1101/092403","10.7554/elife.17935",21
"10.1101/092569","10.1016/j.neuron.2017.07.025",21
"10.1101/102897","10.1523/jneurosci.0056-17.2017",21
"10.1101/103127","10.1371/journal.pone.0188175",21
"10.1101/105882","10.1038/srep45483",21
"10.1101/109074","10.1371/journal.pone.0176706",21
"10.1101/109132","10.1242/bio.021345",21
"10.1101/111245","10.1371/journal.pbio.2001492",21
"10.1101/115865","10.1371/journal.pone.0183554",21
"10.1101/116392","10.1111/ejn.13720",21
"10.1101/126581","10.1371/journal.pone.0187064",21
"10.1101/127423","10.1371/journal.pone.0186759",21
"10.1101/128413","10.7717/peerj.3878",21
"10.1101/131110","10.7554/elife.24340",21
"10.1101/132902","10.1038/s41598-017-03286-8",21
"10.1101/144295","10.7554/elife.32715",21
"10.1101/151399","10.7554/elife.24340",21
"10.1101/154864","10.7554/elife.28699",21
"10.1101/158469","10.1371/journal.pone.0187541",21
"10.1101/034652","10.1534/g3.115.025585",20
"10.1101/063396","10.1038/srep31561",20
"10.1101/091322","10.1371/journal.pcbi.1005350",20
"10.1101/145011","10.1080/15592324.2017.1346767",20
"10.1101/031013","10.1534/g3.115.024596",20
"10.1101/033043","10.1371/journal.pgen.1005774",20
"10.1101/059733","10.1038/sdata.2016.110",20
"10.1101/089805","10.1007/s11538-017-0332-z",20
"10.1101/102699","10.1016/j.nicl.2017.03.016",20
"10.1101/024182","10.1101/gr.203711.115",20
"10.1101/114884","10.1142/s0219720017500172",20
"10.1101/016311","10.7717/peerj.2406",20
"10.1101/021329","10.1177/0269881115626348",20
"10.1101/034868","10.1186/s12896-016-0281-x",20
"10.1101/029165","10.1111/2041-210x.12537",20
"10.1101/029421","10.1101/gr.202945.115",20
"10.1101/061184","10.1002/prot.25094",20
"10.1101/105833","10.1007/s11032-017-0703-z",20
"10.1101/042325","10.3732/ajb.1600103",20
"10.1101/091801","10.1371/journal.pcbi.1005659",20
"10.1101/061663","10.1073/pnas.1613365113",20
"10.1101/029009","10.1186/s12918-016-0261-8",20
"10.1101/076620","10.1080/15384101.2017.1361068",20
"10.1101/101907","10.1038/s41598-017-07650-6",20
"10.1101/027797","10.1534/g3.115.023119",20
"10.1101/171108","10.3389/fgene.2017.00147",20
"10.1101/065441","10.1371/journal.pone.0164677",20
"10.1101/008656","10.1371/journal.pone.0156576",20
"10.1101/059055","10.1186/s12864-016-3195-z",20
"10.1101/120766","10.1038/s41467-017-00909-6",20
"10.1101/026435","10.1093/gbe/evw185",20
"10.1101/077396","10.3389/fncom.2017.00020",20
"10.1101/025833","10.1016/j.scitotenv.2015.10.042",20
"10.1101/041772","10.1101/gad.280578.116",20
"10.1101/032516","10.1261/rna.057273.116",20
"10.1101/045054","10.1038/srep30287",20
"10.1101/128454","10.1016/j.toxlet.2017.05.011",20
"10.1101/092874","10.1038/ng.3959",20
"10.1101/087833","10.1016/j.fsigen.2016.12.011",20
"10.1101/042333","10.1093/jxb/erw255",20
"10.1101/042010","10.1016/j.jtbi.2016.01.037",20
"10.1101/039404","10.1534/genetics.116.188102",20
"10.1101/061119","10.1016/j.pscychresns.2017.03.003",20
"10.1101/020321","10.1371/journal.pcbi.1004689",20
"10.1101/070755","10.1038/srep38863",20
"10.1101/119081","10.1523/jneurosci.1061-17.2017",20
"10.1101/079038","10.1371/journal.pone.0174253",20
"10.1101/156349","10.1038/nbt.3963",20
"10.1101/134007","10.7554/elife.27826",20
"10.1101/094920","10.1371/journal.pone.0177635",20
"10.1101/034447","10.1534/genetics.115.186114",20
"10.1101/067967","10.1007/s10522-016-9669-1",20
"10.1101/024810","10.1371/journal.pcbi.1004881",20
"10.1101/103143","10.1038/sdata.2017.59",20
"10.1101/133751","10.1016/j.neulet.2017.09.034",20
"10.1101/055483","10.1038/ncomms13766",20
"10.1101/131532","10.7554/elife.28158",20
"10.1101/143461","10.1371/journal.pone.0186072",20
"10.1101/083402","10.1038/s41598-017-00622-w",20
"10.1101/092817","10.12688/f1000research.11408.1",20
"10.1101/028472","10.12688/f1000research.8731.1",20
"10.1101/036004","10.7717/peerj.2452",20
"10.1101/030056","10.1111/evo.12978",20
"10.1101/070656","10.1016/j.virusres.2016.06.022",20
"10.1101/037069","10.1016/j.visres.2015.11.001",20
"10.1101/049452","10.1128/mbio.00809-16",20
"10.1101/068114","10.1371/journal.pone.0168023",20
"10.1101/147108","10.1186/s13073-017-0502-5",20
"10.1101/045443","10.1371/journal.pntd.0004816",20
"10.1101/059915","10.1016/j.ecocom.2017.04.003",20
"10.1101/114587","10.1111/2041-210x.12808",20
"10.1101/090894","10.1086/692542",20
"10.1101/048199","10.1016/j.jtbi.2016.08.023",20
"10.1101/041376","10.2112/jcoastres-d-16-00125.1",20
"10.1101/210286","10.1002/prot.25439",20
"10.1101/020594","10.1007/s10955-015-1431-6",20
"10.1101/118307","10.1007/s10863-017-9709-9",20
"10.1101/035014","10.1134/s1063776116060170",20
"10.1101/106567","10.7554/elife.25827",20
"10.1101/133736","10.1152/jn.00506.2017",20
"10.1101/180471","10.1126/science.aam9868",20
"10.1101/109009","10.1038/s41598-017-00961-8",20
"10.1101/097568","10.1083/jcb.201610093",20
"10.1101/103457","10.1038/s41598-017-02789-8",20
"10.1101/027730","10.1038/srep28003",20
"10.1101/047332","10.1103/physreve.93.062417",20
"10.1101/134718","10.1101/gr.224626.117",20
"10.1101/083014","10.1128/mcb.00085-17",20
"10.1101/000497","10.1186/s13062-016-0156-z",20
"10.1101/014852","10.1002/ece3.2373",20
"10.1101/018291","10.1111/nph.13750",20
"10.1101/019398","10.1137/140996112",20
"10.1101/019711","10.1073/pnas.1516814112",20
"10.1101/020172","10.1007/s10955-015-1394-7",20
"10.1101/021329","10.1177/0269881116628440",20
"10.1101/021402","10.1111/ecog.02156",20
"10.1101/021972","10.1534/genetics.115.182089",20
"10.1101/022988","10.1534/genetics.115.185314",20
"10.1101/022996","10.1534/genetics.115.184796",20
"10.1101/023903","10.1186/s13062-016-0121-x",20
"10.1101/024745","10.1007/s40264-016-0392-2",20
"10.1101/024869","10.1534/genetics.115.180471",20
"10.1101/025569","10.1214/16-sts553",20
"10.1101/026088","10.1002/ece3.2783",20
"10.1101/026740","10.1111/1744-7917.12370",20
"10.1101/027490","10.1007/s00125-016-3930-7",20
"10.1101/027532","10.1676/1559-4491-128.2.419",20
"10.1101/027961","10.1534/g3.115.026773",20
"10.1101/028134","10.1534/g3.116.028076",20
"10.1101/028555","10.1093/nar/gkw608",20
"10.1101/029009","10.1186/s12918-016-0262-7",20
"10.1101/031864","10.1534/g3.116.035527",20
"10.1101/032367","10.7150/jca.18762",20
"10.1101/032490","10.1534/genetics.116.187534",20
"10.1101/032805","10.1534/genetics.116.191759",20
"10.1101/032904","10.3389/fnsys.2015.00180",20
"10.1101/033597","10.1016/j.tpb.2016.01.002",20
"10.1101/033936","10.1534/genetics.115.185231",20
"10.1101/034298","10.1098/rstb.2015.0244",20
"10.1101/034447","10.1534/genetics.115.185314",20
"10.1101/036137","10.1186/s13059-016-1107-9",20
"10.1101/036376","10.1093/bioinformatics/btw346",20
"10.1101/036731","10.1111/evo.12992",20
"10.1101/037200","10.1534/genetics.116.187534",20
"10.1101/037333","10.1111/evo.12889",20
"10.1101/038729","10.1534/genetics.116.191825",20
"10.1101/038810","10.1093/jac/dkw395",20
"10.1101/039206","10.1002/humu.22976",20
"10.1101/039214","10.3389/fgene.2016.00188",20
"10.1101/040089","10.1534/genetics.116.189357",20
"10.1101/041434","10.1371/journal.pgen.1006399",20
"10.1101/042895","10.1534/genetics.116.189803",20
"10.1101/043091","10.1371/journal.pgen.1006013",20
"10.1101/043166","10.1016/j.ajhg.2016.03.004",20
"10.1101/043240","10.1186/s12864-016-2878-9",20
"10.1101/044651","10.1111/1755-0998.12574",20
"10.1101/047308","10.1111/tpj.13420",20
"10.1101/048801","10.1016/j.jmb.2016.06.013",20
"10.1101/049411","10.1534/genetics.116.196956",20
"10.1101/051482","10.1139/cjfas-2015-0455",20
"10.1101/052381","10.3389/fgene.2016.00219",20
"10.1101/052969","10.1088/1478-3975/13/5/053001",20
"10.1101/052977","10.1534/genetics.116.188250",20
"10.1101/053025","10.1038/ismej.2016.84",20
"10.1101/054544","10.1093/sysbio/syx045",20
"10.1101/054932","10.1099/mgen.0.000091",20
"10.1101/055731","10.1038/ng.3612",20
"10.1101/056150","10.1002/env.2438",20
"10.1101/056556","10.1002/ece3.2505",20
"10.1101/056986","10.1016/j.ecolind.2017.02.043",20
"10.1101/057182","10.1534/g3.116.028076",20
"10.1101/058149","10.1093/sysbio/syx045",20
"10.1101/059204","10.1534/genetics.116.191759",20
"10.1101/060483","10.1534/genetics.116.188250",20
"10.1101/062372","10.1534/genetics.116.196956",20
"10.1101/062760","10.1534/genetics.116.193169",20
"10.1101/063321","10.1016/j.bbagen.2016.06.026",20
"10.1101/063610","10.1186/s13059-017-1151-0",20
"10.1101/066399","10.1371/journal.pgen.1006457",20
"10.1101/067397","10.1088/1751-8113/49/48/485202",20
"10.1101/067751","10.1016/j.bpj.2016.07.004",20
"10.1101/069492","10.1099/mgen.0.000095",20
"10.1101/069708","10.1534/genetics.116.196956",20
"10.1101/070128","10.1017/thg.2016.75",20
"10.1101/070573","10.1111/2041-210x.12762",20
"10.1101/071126","10.1007/s12080-016-0316-x",20
"10.1101/075820","10.1021/acs.jpcb.6b10149",20
"10.1101/078584","10.1016/j.meegid.2017.01.007",20
"10.1101/078618","10.1534/genetics.116.196956",20
"10.1101/079368","10.1534/genetics.116.194613",20
"10.1101/081182","10.1093/nar/gkx199",20
"10.1101/086868","10.1186/s13059-017-1224-0",20
"10.1101/091744","10.1038/s41559-017-0271-y",20
"10.1101/092577","10.1016/j.molcel.2016.12.004",20
"10.1101/093104","10.1016/j.yexcr.2017.05.004",20
"10.1101/093401","10.1073/pnas.1621438114",20
"10.1101/096024","10.1002/pd.5039",20
"10.1101/096214","10.1111/add.13899",20
"10.1101/096230","10.1016/j.cmet.2016.11.009",20
"10.1101/096347","10.1111/jpy.12580",20
"10.1101/102624","10.1016/j.tpb.2017.07.002",20
"10.1101/104513","10.1111/gcb.14019",20
"10.1101/107300","10.1016/j.cmi.2017.04.020",20
"10.1101/108282","10.1016/j.dadm.2017.03.006",20
"10.1101/111237","10.1105/tpc.17.00098",20
"10.1101/113969","10.1111/mec.14445",20
"10.1101/115105","10.1242/dev.151621",20
"10.1101/115832","10.1016/j.physa.2017.10.010",20
"10.1101/116038","10.1128/mbio.00922-17",20
"10.1101/116186","10.1073/pnas.1715687114",20
"10.1101/117424","10.1007/s10530-017-1549-3",20
"10.1101/117622","10.1080/1747423x.2017.1331273",20
"10.1101/121962","10.1111/2041-210x.12839",20
"10.1101/123828","10.1016/j.pbb.2017.10.009",20
"10.1101/126334","10.15252/emmm.201707729",20
"10.1101/133512","10.1016/j.ympev.2017.10.017",20
"10.1101/135889","10.1371/journal.pntd.0005991",20
"10.1101/137554","10.1016/j.placenta.2017.05.006",20
"10.1101/138651","10.1016/j.orggeochem.2017.07.003",20
"10.1101/140566","10.1124/jpet.117.241596",20
"10.1101/141796","10.1073/pnas.1717327114",20
"10.1101/146373","10.1073/pnas.1710465114",20
"10.1101/153478","10.1073/pnas.1714877115",20
"10.1101/180323","10.1093/nar/gkx1161",20
"10.1101/184994","10.1186/s13072-017-0162-0",20
"10.1101/024067","10.1038/srep27821",20
